	actual_label	prediction	abstract
0	Course	Non-Course	su homepag pm chiang tr cs go time lab
1	Non-Course	Non-Course	robert utexa depart info univervers xa otu cs univers
2	Non-Course	Non-Course	spring comput alvisi depart page research cs cornel scienc fall lorenzo toler offic taylor cours special itali sytem system oper hot utexa csd home distribut ph edu public topic professor interest cst
3	Non-Course	Non-Course	approach show motion correspond imag medic trace recov angiograph sequenc ray determin inform note film differ composit enhanc invari poscript period
4	Non-Course	Non-Course	tamch ariel
5	Non-Course	Non-Course	homepag visit comput third dr multimedia austin page cs databas bhanu scienc semest cours system visitor home barua vin univers architectur term son project l texa manag
6	Course	Course	spring rahul use overview homework introduct cs fall gener offic program read examin kapoor cours stori tool inform wisc telephon languag assign horwitz edu hour date compil interest exam
7	Course	Course	provid access summari new schedul page cover document later scienc three segment student program cours thread histori begin awar system easi sun inform librari day alway systemssect andrew knowledg differ languag sophist network time edu class arnold packag softwar structur date direct hour byproduct api text view oct mon refer primer meet ad room sept level runtim one cs seminar watch run option first offic statist directori archiv bug swap count take environ tr avaiabl makefil includ kind introductori assign subsequ section mellencamp receiv ago caught project compil topic post short e string solari familiar ken fork critic list five follow local issu avail secur edit respons pm file get nov mwf specif regist shown also simul late feel wisc oper note featur four home distribut replac web instructor unix present memori make standard grade depart comput use octob definit creat introduct fall discuss intend disk move readi involv read implement said phone congeni fix chapter describ notifi among detail link hand anyon mellen reserv thursday sci graph algorithm due outlin java public last solomon correct threadschedul dec relat howev know lectur
8	Non-Course	Non-Course	profil comput summari use potenti austin page research cs back scienc fall area concurr program undergradu implement stand reason inform function book work addit home languag teach ph section univers member term project seri hamilton interest maintain obtain iowa orient year texa
9	Course	Course	grade overview homework schedul url page updat cs theori www fall semest gener mathemat per offic jye cours program mwf also inform wisc librari olvi telephon lee bertseka home gradient applic thursday assign etc uw edu instructor class hour project mail text e nonlinear ferri list
10	Course	Course	ftp follow local depart comput explan check use one page document cs scienc fall offic examin handout lab postscript inform mani work polici home includ assign etc section web instructor copi servic hour direct problem ghost exam
11	Non-Course	Non-Course	autobiographi comput depart page cs cornel scienc take sonia ultra inform soon home dad lot edu lookin search cool
12	Course	Course	sorin homepag solut mentor comput depart wisconsin engin ii homework avail help page document enrol cae fall semest gener conduct pm news cours get wiscinfo specif exersis lab septemb inform note part link addit home cst electr assign workbook intro may outlin due univers architectur group madison project professor need ece problem hw refer contain
13	Non-Course	Non-Course	asynchron fpga emerald depart level comput current usa engin research scienc focu box engag board rapid rout system washington self simul pin gemini aid tune cad hardwar assign prototyp univers previou embed project direct northwest integr vlsi chinook develop
14	Non-Course	Non-Course	comput depart use came austin page research address scienc fall kedar indian offic concurr program phone semant tx emerson inform contact home distribut lot receiv algorithm person interest advisor know degre madra
15	Non-Course	Non-Course	offic utexa srinivasan home phone vsr cs edu ua
16	Non-Course	Non-Course	attack solut sever comput depart summari vol wisconsin indefinit equat page research cs studi scienc mathemat numer special system automat seymour parter singular wisc pub work home distribut may scientif spars number univers class edu error project professor posit interest problem w effect pp ellipt
17	Course	Course	depart comput overview lampert frequent page cs introduct scienc fall borland email offic program cours fortran skrentni system misconduct inform complaint wisc oper savitch home consult coordin languag question section edu instructor last see softwar algebra feedback c offer
18	Non-Course	Non-Course	reus k gordon comput usa use austin creat p cs research construct scienc offic program artifici fax system jr intellig automat inform specifi curriculum utexa lisp link laboratori ph novak web edu scheme class expert univers server compil professor write physic c demo shell univ texa
19	Non-Course	Non-Course	find compar current comput depart engin wa page construct research cs scienc box www symposium program jack june design washington also jlo home languag smt edu univers architectur confer paper interest
20	Course	Course	oper newsgroup group project read home send page assign handout introduct cs system inform class
21	Course	Course	comput porter use treasur surf thicken p cs introduct scienc graphic snow semest play intend tree move chang program cours nov emphas machin gambl tay foundat take express simul data draw concept work unpars plot taken macintosh languag assign basic section number web lot scheme symbol previou pc turtl high school next algebra major hunt syntax translat oct list
22	Course	Course	page construct research august scienc transact cours interact system principl support inform paul network time class larg softwar hour ieee cst collabor meet descript vol emphasi cs requir argo offic particip design content includ thyagarajan may project topic synopsi paradigm list k sigcomm issu r retriev imag journal semest queri appli th base bach rangan oper prerequisit utexa distribut j advanc collect proceed multicast san instructor commun titl present conferenc cdt w grade comput articl multimedia databas fall gener discuss effici rout acm textbook harrick qbic pictur face vin carri manag
23	Non-Course	Non-Course	group comput ut theori algorithm
24	Non-Course	Non-Course	qiang john page home
25	Non-Course	Non-Course	matthai page home philipos
26	Course	Course	pst spring cse comput chuck program ii matrix numer quadrat r system exampl intro linear eric
27	Non-Course	Non-Course	spring sugata comput depart multimedia page cs cornel scienc student phone system take mukhopadhyay graduat contact work home edu ritu high compil prof welcom perform
28	Course	Non-Course	index provid bring check show new use well page document cs address databas internet area idea gener offici manual cse info chang program filter execut washington intellig sew inform locat anoth cacm miscellan detail link entir extra sourc home paul older glimps network begun web edu site class server wide good write topic short interest review futur develop
29	Non-Course	Non-Course	depart comput govern own austin page dept cs scienc smart educ mathemat mccarthi read cours qed noth vote locat robert john work curriculum utexa fundament home moffett taken state philosophi web univers class furthermor project professor short view boyer univ texa verg deutsch
30	Non-Course	Non-Course	richard mallori
31	Course	Course	room grade comput clarif page introduct cs mid scienc theori fall pm tuc offic archiv mwf wednesday monday lectur septemb inform wisc theoret john david home thursday teach assign languag uw written edu friday madison sundaram hour mail tuesday assist text exam list
32	Course	Course	new syllabu object clarif msteel page cs introduct fall comp week gener pleas pm email offic deadlin program cours read th vectra phone handout lab inform appoint function wisc midterm work note polici home consult taken wed languag assign may section sampl time edu class near hour algebra build exampl c walter fill exam refer
33	Course	Course	mvi ad solut grade follow comput depart use engin homework schedul syllabu new avail page hypermedia document cs static hypertext scienc graphic imag world sgi cse click wealth program cours get read handout base mind lab art visitor inform browser deros mosaic addit instruct home send basic assign languag web written ta class markup last html wide project topic professor cool problem degre year offer keep
34	Course	Course	duplic solut k comput actor use syllabu connect cs requir studi behavior program file cours artifici select intellig survey process natur languag assign brain topic major problem ai
35	Course	Non-Course	oper romer cse storag present file system principl perform
36	Non-Course	Non-Course	index ftp comput current mactest page research cs larri past pleas artwork involv parallel princeton rout creativ washington neil inform contact fun concern home gemini electr laboratori teach angel web edu public person project gon interest exampl futur contain
37	Course	Course	homework research document cornel scienc newsgroup student program cours system appoint inform function librari nj book fox knowledg sml languag basic mf edu class hour emac refer jgm call descript cs requir conduct offic design content specifi learn relev contact though environ come assign scheme project e like find tech goal avail side pm info semant specif tool concept oper note prerequisit ulfar thu mechan concern math tue advanc mit web instructor make denot standard comput logic prove studi carl understand implement resourc describ link line properti suitabl prefer interest
38	Non-Course	Non-Course	spring u comput depart yuanj schedul object publish austin page cs scienc beij academi alumni program cours system select china öð¹ú¼æëã famili chines technolog time univers java server softwar texa develop
39	Non-Course	Non-Course	comput depart current austin multimedia page research cs scienc www capit offic involv click central file implement system sriram tay support inform locat oper contact work miscellan utexa home pictur mine rao hill edu univers group mail interest texa
40	Course	Course	descript spring comput depart carlson essenti engin syllabu avail request page construct document cs suggest studi scienc analysi cse offic cours technic winter system design washington sieg inform note link home includ assign may edu class larg softwar project defens mail topic interest leveson test success develop manag
41	Non-Course	Non-Course	homepag simpl
42	Non-Course	Non-Course	sign swim comput depart activ clc austin page updat cnn cs hypertext address scienc databas research traveloc hall yellow world offic info sammi parallel experi laptop artifici concert system tx intellig oper utexa home dell distribut languag web univers zpl last html america white wide project topic compil prof geijn consortium cst ut texa
43	Course	Course	beam world cse wide home short paul page hypermedia welcom document latex web fall instructor
44	Non-Course	Non-Course	index comput depart beauti drew use wisconsin page research wi cornel cs scienc seminar partner journal week side rabid analysi multiscalar student pl program implement fax hmmm regist arch wisc david hot work featur home distribut love vagu languag super edu univers leav wierd madison group project topic interest cmu physic amir never
45	Non-Course	Non-Course	descript przemyslaw bershad comput current depart engin schedul page interast research cs fr scienc area run student program przemek th fax system unrel washington base also resum oper work built poland mechan link home pardi distribut languag etc time edu univers commun group project relat compil interest spin pardyak
46	Non-Course	Non-Course	graduat contact figur geeta utexa home river arora page research cs ph edu
47	Non-Course	Non-Course	eremolin first offic utexa comput xxx home fax page postal main cs bullet c scienc web edu emilio
48	Non-Course	Non-Course	comput depart wisconsin use goal florida staff page elsewher cs scienc explor gener program parallel arpa temporari tool inform wisc contact home distribut super languag west edu univers paradyn bart effort releas project relat poster contain perform
49	Non-Course	Non-Course	page jeff home shabel
50	Non-Course	Non-Course	spring volum comput two evolv follow horu overview use avail multimedia page elsewher research introduct construct address aris fall isi workstat toler robust parallel compani flexibl system design base set process earli mani style link distribut includ applic initi collect origin contribut open differ user languag web found class commun group tacoma releas purpos person project vogel softwar abstract conferenc develop manag
51	Non-Course	Non-Course	homepag comput nhl austin page construct cs scienc imag program rutger system rank graduat utexa yong collect ph number edu univers convert seinfeld lu yonglu html last util heavi cst texa
