	actual_label	prediction	terms
0	Course	Course	time cs su tr pm go lab chiang home hui homepag
1	Non-Course	Non-Course	univervers phone e austin otu robert cs ut address email b xa depart texa utexa info univers edu tx mail
2	Non-Course	Non-Course	distribut phone research sytem show oper professor e photo thu home alvisi lorenzo ph taylor itali cours special cornel topic map feb page fall interest cs ut maria spring comput csd public hall toler depart texa offic li utexa hot scienc bologna cst univers edu fax system mail
3	Non-Course	Non-Course	seitz invari angiograph pure enhanc show differ e move make call click x irregular medic note period chuck scene sequenc imag ray inform top determin dyer g mean film represent use composit poscript motion time trace develop paper ut approach correspond frame li run recov chang steve info camera skip theori
4	Non-Course	Non-Course	ariel tamch
5	Non-Course	Non-Course	vin architectur school data logic databas alt austin term visit home homepag gif cours img third l son use vladimir page network cs ut manag schwetman comput lifschitz dr multimedia harrick project thank texa number li semest user src scienc barua bhanu univers system visitor
6	Course	Course	tu program rahul wednesday languag comp e link check home tuesday teach read examin cours date text compil stori inform exam fischer hour tuth ps tool use introduct fall horwitz interest cs friday ut monday spring homework lectur overview email stat instructor wisc susan kapoor telephon offic li sci assign get info gener edu mail
7	Course	Course	output phone graph begin anyon class archiv octob show wednesday data intend comp c make sophist also home week regist shown code work local java watch four learn chapter featur discuss star grain think cover support notifi definit text way due cdt seminar deadlock swap use marvin excel point memori session mellen said meet ut schedul monday random lectur placement document score ta rob softwar subsequ instructor algorithm howev room bin run primer assign scienc get alway credit first web awar view buy mwf state simul program new news favor oper count replac e link api wesley call race implement section three nov todd help statist cours among secur test inform level direct fast g jame involv oct term solari grade thursday cs file know address describ receiv colloquia public addison peterson directori p depart critic issu histori environ src knowledg chang info univers correct present th bound cshrc structur char mon chan string access zhang check move arnold five introductori ago note one kind paragraph read offset solomon ad date compil topic control exam avaiabl hour log type ps disk demand problem introduct page fall network avail byproduct feel email andrew write dec tue wisc bug thank systemssect find design tr thread copyright late mail segment easi fix name cpu distribut threadschedul author makefil fork familiar languag differ provid congeni sept contain buffer respons market send reserv detail caught creat follow eat thu order partner specif short list tuesday crash edit post librari take pm later outlin sun standard top readi last unix avoid student tung time option includ comput processor refer relat runtim hall ken project hand number space sci offic li summari sep user end day cst edu system packag mellencamp
8	Non-Course	Non-Course	state program concurr jr research languag addit iowa wesley austin year term home work area section ph implement profil seri obtain teach undergradu editor inform hamilton back maintain use time page fall interest member cs ut richard comput lectur function addison vol stanford stand b harvard project algorithm texa book li potenti reason summari scienc orient info univers edu engin
9	Course	Course	theorem wednesday class c linear also home bertseka week teach siam updat text use schedul ut monday homework lectur math etc instructor algorithm assign lee yuh h mwf program e http period olvi cours inform grade thursday cs philadelphia stat telephon info gener r bazaraa www ie uw exam hour michael page fall convex applic overview nonlinear wisc mail url per mathemat gradient athena order list tuesday edit kurt librari jye l york n project ferri offic li semest edu theori
10	Course	Course	handout check copi home follow work mani section one local site teach read viewer examin lab inform exam direct hour servic use problem explan page fall polici cs ut includ file ghost comput document etc instructor depart offic li postscript assign scienc info web ftp
11	Non-Course	Non-Course	search dad sonia home rate week keep ultra take cornel inform page lookin cs ut comput autobiographi depart cool li cricket scienc info edu soon lot
12	Course	Course	addit home due part mentor use ut sorin homework intro document ta may assign get architect saluja architectur news professor wisconsin link mr solut homepag electr kewal help cours dan inform wiscinfo cs file workbook surf depart server info univers gener ece check cae note site madison ii uw date conduct need enrol problem page fall avail email wisc gopher design mail contain exersis send click follow specif pm outlin lab group comput refer project li semest septemb cst engin ftp hw
13	Non-Course	Non-Course	emerald simul tune tester embed research engag wa rout asynchron feedback northwest perform work pin rapid hardwar multi triptych cost prototyp well board usa lab chinook level direct box springbok washington use integr map network layout develop time ut aid previou chip spring scale comput placement softwar vlsi fpga today project algorithm depart current design li toolset self assign scienc co cad univers edu engin gemini system focu clock
14	Non-Course	Non-Course	program distribut phone research logic professor e check austin home west degre advisor institut inform emerson fun hi use automata page fall interest ut address know comput madra receiv contact kedar street algorithm semant depart thank iit came offic li indian bachelor scienc person info tx concurr theori th lot
15	Non-Course	Non-Course	phone texa email cs offic ut ua utexa srinivasan edu home mail vsr
